cam,date,missing
TOPI,2018-03-07,0.0
TOTM,2018-03-07,1.0
WHWI,2018-03-07,0.0
WINR,2018-03-07,1.0
WIWR,2018-03-07,0.0
CVTP,2018-03-08,0.0
CVWF,2018-03-08,13.0
MTSR,2018-03-08,0.0
N,2018-03-08,8.0
P,2018-03-08,0.0
R,2018-03-08,1.0
RIMM,2018-03-08,46.0
T,2018-03-08,0.0
TOPI,2018-03-08,0.0
TOTM,2018-03-08,0.0
WHWI,2018-03-08,0.0
WINR,2018-03-08,1.0
WIWR,2018-03-08,0.0
CVTP,2018-03-09,0.0
CVWF,2018-03-09,2.0
MTSR,2018-03-09,1.0
N,2018-03-09,6.0
P,2018-03-09,0.0
R,2018-03-09,0.0
RIMM,2018-03-09,90.0
T,2018-03-09,0.0
TOPI,2018-03-09,0.0
TOTM,2018-03-09,0.0
WHWI,2018-03-09,0.0
WINR,2018-03-09,1.0
WIWR,2018-03-09,0.0
CVTP,2018-03-10,1.0
CVWF,2018-03-10,2.0
MTSR,2018-03-10,1.0
N,2018-03-10,11.0
P,2018-03-10,0.0
R,2018-03-10,0.0
RIMM,2018-03-10,65.0
T,2018-03-10,0.0
TOPI,2018-03-10,0.0
TOTM,2018-03-10,1.0
WHWI,2018-03-10,0.0
WINR,2018-03-10,1.0
WIWR,2018-03-10,1.0
CVTP,2018-03-11,0.0
CVWF,2018-03-11,2.0
MTSR,2018-03-11,1.0
N,2018-03-11,8.0
P,2018-03-11,0.0
R,2018-03-11,0.0
RIMM,2018-03-11,3.0
T,2018-03-11,0.0
TOPI,2018-03-11,0.0
TOTM,2018-03-11,0.0
WHWI,2018-03-11,0.0
WINR,2018-03-11,1.0
WIWR,2018-03-11,0.0
CVTP,2018-03-12,0.0
CVWF,2018-03-12,0.0
MTSR,2018-03-12,0.0
N,2018-03-12,2.0
P,2018-03-12,0.0
R,2018-03-12,0.0
RIMM,2018-03-12,0.0
T,2018-03-12,0.0
TOPI,2018-03-12,0.0
TOTM,2018-03-12,0.0
WHWI,2018-03-12,0.0
WINR,2018-03-12,1.0
WIWR,2018-03-12,0.0
CVTP,2018-03-13,0.0
CVWF,2018-03-13,1.0
MTSR,2018-03-13,1.0
N,2018-03-13,8.0
P,2018-03-13,0.0
R,2018-03-13,0.0
RIMM,2018-03-13,0.0
